policy,tier,top_k,n_shared_genes,category,n_edges,trrust_hits,trrust_rate,dorothea_hits,dorothea_rate,source_tf_hits,source_tf_rate,target_known_hits,target_known_rate
tf_source,large,5000,1929,gained_at_1000_vs_200,682,0,0.0,73,0.10703812316715543,682,1.0,648,0.9501466275659824
tf_source,large,5000,1929,high_cell_only,267,0,0.0,16,0.0599250936329588,267,1.0,242,0.9063670411985019
tf_source,large,5000,1929,persistent_all_counts,2544,6,0.0023584905660377358,406,0.15959119496855345,2544,1.0,2170,0.8529874213836478
tf_source,medium,5000,1929,gained_at_1000_vs_200,676,0,0.0,75,0.11094674556213018,676,1.0,654,0.9674556213017751
tf_source,medium,5000,1929,high_cell_only,251,0,0.0,12,0.04780876494023904,251,1.0,237,0.9442231075697212
tf_source,medium,5000,1929,persistent_all_counts,2552,6,0.0023510971786833857,416,0.16300940438871472,2552,1.0,2220,0.8699059561128527
tf_source,small,5000,1929,gained_at_1000_vs_200,661,1,0.0015128593040847202,72,0.10892586989409984,661,1.0,621,0.9394856278366112
tf_source,small,5000,1929,high_cell_only,257,0,0.0,15,0.058365758754863814,257,1.0,239,0.9299610894941635
tf_source,small,5000,1929,persistent_all_counts,2581,6,0.002324680356450988,400,0.15497869043006587,2581,1.0,2212,0.8570321580782643
tf_source_target,large,5000,1929,gained_at_1000_vs_200,656,0,0.0,74,0.11280487804878049,656,1.0,656,1.0
tf_source_target,large,5000,1929,high_cell_only,236,0,0.0,13,0.05508474576271186,236,1.0,236,1.0
tf_source_target,large,5000,1929,persistent_all_counts,2583,8,0.003097173828881146,440,0.17034456058846303,2583,1.0,2583,1.0
tf_source_target,medium,5000,1929,gained_at_1000_vs_200,662,2,0.0030211480362537764,81,0.12235649546827794,662,1.0,662,1.0
tf_source_target,medium,5000,1929,high_cell_only,234,0,0.0,16,0.06837606837606838,234,1.0,234,1.0
tf_source_target,medium,5000,1929,persistent_all_counts,2567,6,0.002337358784573432,437,0.17023763147643164,2567,1.0,2567,1.0
tf_source_target,small,5000,1929,gained_at_1000_vs_200,635,1,0.0015748031496062992,76,0.11968503937007874,635,1.0,635,1.0
tf_source_target,small,5000,1929,high_cell_only,232,0,0.0,16,0.06896551724137931,232,1.0,232,1.0
tf_source_target,small,5000,1929,persistent_all_counts,2602,7,0.002690238278247502,437,0.1679477325134512,2602,1.0,2602,1.0
unconstrained,large,5000,1929,gained_at_1000_vs_200,4735,0,0.0,0,0.0,239,0.05047518479408659,155,0.03273495248152059
unconstrained,large,5000,1929,high_cell_only,3429,0,0.0,0,0.0,168,0.048993875765529306,206,0.060075823855351415
unconstrained,large,5000,1929,persistent_all_counts,147,0,0.0,0,0.0,16,0.10884353741496598,1,0.006802721088435374
unconstrained,medium,5000,1929,gained_at_1000_vs_200,4853,0,0.0,2,0.00041211621677313,213,0.04389037708633835,1397,0.28786317741603135
unconstrained,medium,5000,1929,high_cell_only,3966,0,0.0,1,0.0002521432173474534,195,0.049167927382753406,1153,0.2907211296016137
unconstrained,medium,5000,1929,persistent_all_counts,15,0,0.0,0,0.0,1,0.06666666666666667,4,0.26666666666666666
unconstrained,small,5000,1929,gained_at_1000_vs_200,4277,0,0.0,0,0.0,129,0.030161328033668458,855,0.19990647650222118
unconstrained,small,5000,1929,high_cell_only,2365,0,0.0,0,0.0,81,0.034249471458773786,304,0.12854122621564482
unconstrained,small,5000,1929,persistent_all_counts,336,0,0.0,0,0.0,20,0.05952380952380952,1,0.002976190476190476
