analysis_tag,dataset,cell_type,cell_count,rarity_group,panel_mode,sample_size,n_edges,n_tfs,n_targets,stability_spearman_mean,stability_spearman_std,topk_jaccard_mean,topk_jaccard_std,null_auc_mean,null_auc_std,null_auc_cellperm_mean,null_auc_cellperm_std,null_auc_geneshuffle_mean,null_auc_geneshuffle_std,null_auc_conservative_mean,null_auc_conservative_std,null_tail_gap_mean,null_tail_gap_std,null_tail_gap_cellperm_mean,null_tail_gap_cellperm_std,null_tail_gap_geneshuffle_mean,null_tail_gap_geneshuffle_std,null_tail_gap_conservative_mean,null_tail_gap_conservative_std,mean_detected_genes,tf_detection_rate,target_detection_rate,median_tf_variance,is_reliable,failure_mode
adaptive_panel,kidney,kidney epithelial cell,9278,abundant,adaptive_panel,7422,288,64,165,0.9112063326494889,0.02390169348151569,0.8406845676743709,0.027161174916640645,0.7686481240354939,0.008752122838677627,0.7686481240354939,0.008752122838677627,0.4912923177083333,0.019509513491494688,0.4912923177083333,0.019509513491494688,0.10572648048400879,0.0037153702213266926,0.10572648048400879,0.0037153702213266926,-0.2882137205451727,0.1231311690280436,-0.2882137205451727,0.1231311690280436,37.07221383918948,0.12688449827549042,0.1831814589089864,0.017872288823127747,True,Reliable
adaptive_panel,kidney,"CD8-positive, alpha-beta T cell",537,abundant,adaptive_panel,430,288,64,165,0.844898899989483,0.015149329631535268,0.67274534305054,0.03181352238920939,0.5619310920621142,0.01121613662402237,0.5619310920621142,0.01121613662402237,0.5117210105613426,0.029273327160521157,0.5084228515625,0.02258674438148889,-0.017106322571635246,0.00880485285727177,-0.017106322571635246,0.00880485285727177,-0.132250614464283,0.05277357664990064,-0.132250614464283,0.05277357664990064,55.513966480446925,0.3767749068901304,0.2350657412109926,0.5586215257644653,False,Null-overlap (weak signal)
adaptive_panel,kidney,B cell,494,intermediate,adaptive_panel,395,288,64,165,0.8549795894291611,0.017520377006165155,0.619351769145475,0.03727996546812026,0.5461508668499229,0.007483311643658115,0.5461508668499229,0.007483311643658115,0.48364333164544754,0.02037088554990211,0.48364333164544754,0.02037088554990211,-0.029339009895920753,0.007932429014265456,-0.029339009895920753,0.007932429014265456,-0.12799838930368423,0.02629101740365652,-0.12799838930368423,0.02629101740365652,57.149797570850204,0.4101720647773279,0.2296405349036928,0.5196189880371094,False,Null-overlap (weak signal)
adaptive_panel,kidney,macrophage,339,intermediate,adaptive_panel,271,288,64,165,0.8735860183055589,0.02477328796888967,0.7328522651240098,0.035096944824148074,0.6599678698881173,0.014297005790456561,0.6599678698881173,0.014297005790456561,0.5009102527006173,0.01451666151921463,0.5009102527006173,0.01451666151921463,0.08860957808792591,0.010898266653189832,0.08860957808792591,0.010898266653189832,-0.26998796314001083,0.05209390563044903,-0.26998796314001083,0.05209390563044903,73.19174041297936,0.44284660766961653,0.3188164834182533,0.3258987069129944,True,Reliable
adaptive_panel,kidney,"CD4-positive, alpha-beta T cell",299,intermediate,adaptive_panel,239,288,64,165,0.8501715045442249,0.01693161319900281,0.6529952754099232,0.031200954972782077,0.5620260356385031,0.011230344148453763,0.5620260356385031,0.011230344148453763,0.5134480794270834,0.01854309548786926,0.5134480794270834,0.01854309548786926,-0.027948939241468906,0.012881158429060034,-0.027948939241468906,0.012881158429060034,-0.20276866108179092,0.06332857911538915,-0.20276866108179092,0.06332857911538915,56.214046822742475,0.39255852842809363,0.23865409952366473,0.4885310232639313,False,Null-overlap (weak signal)
adaptive_panel,kidney,natural killer cell,201,intermediate,adaptive_panel,161,288,64,165,0.8467678594471684,0.028212759270798134,0.6680683681131445,0.03886551808807636,0.5497700255594136,0.003711274475789298,0.5497700255594136,0.003711274475789298,0.48580216772762347,0.007433571294291214,0.48580216772762347,0.007433571294291214,-0.04013710282742977,0.012706582803069749,-0.04013710282742977,0.012706582803069749,-0.22559654340147972,0.0503422435381384,-0.22559654340147972,0.0503422435381384,59.208955223880594,0.4402207711442786,0.23594150459822102,0.45673277974128723,False,Null-overlap (weak signal)
adaptive_panel,kidney,endothelial cell,101,rare,adaptive_panel,81,288,64,165,0.8811153351736729,0.019988006881509257,0.7098977790995464,0.04168631011194558,0.5930725851176697,0.011643599232024352,0.5930725851176697,0.011643599232024352,0.5005025981385032,0.0113894772679538,0.5005025981385032,0.0113894772679538,0.0019582659006118774,0.019804338282261795,0.0019582659006118774,0.019804338282261795,-0.24948827922344208,0.05891871967334743,-0.24948827922344208,0.05891871967334743,64.0,0.39928836633663367,0.279027902790279,0.2906652092933655,False,Null-overlap (weak signal)
adaptive_panel,kidney,monocyte,54,rare,adaptive_panel,43,288,64,165,0.891071502341784,0.020817656766246233,0.6367733337115525,0.05374479480400486,0.5285132137345678,0.007671198771318991,0.5285132137345678,0.007671198771318991,0.5181116174768519,0.017007433979644458,0.5142340012538581,0.01380745069834307,-0.11879422701895237,0.04374418340768808,-0.11879422701895237,0.04374418340768808,-0.26909282244741917,0.08508350353695623,-0.26909282244741917,0.08508350353695623,73.24074074074075,0.44675925925925924,0.31795735129068464,0.1582230031490326,False,Null-overlap (weak signal)
adaptive_panel,lung,macrophage,16486,abundant,adaptive_panel,13189,409,77,243,0.9630192190621726,0.00770789611401061,0.9107857249917457,0.01828641049064557,0.7243093208433714,0.008079133871674868,0.7243093208433714,0.008079133871674868,0.5403437927798136,0.00787322416664291,0.5403437927798136,0.00787322416664291,0.1246133204549551,0.0018438529514611525,0.1246133204549551,0.0018438529514611525,-0.17313773930072784,0.04183400538007947,-0.17313773930072784,0.04183400538007947,57.36443042581585,0.18481954779419293,0.21632720916962092,0.010796054266393185,True,Reliable
adaptive_panel,lung,pulmonary alveolar type 2 cell,11594,abundant,adaptive_panel,9275,409,77,243,0.9216452972193991,0.0227653519965784,0.847119172994115,0.03746992588095244,0.6464231592350596,0.007238108053214274,0.6464231592350596,0.007238108053214274,0.5170017067090703,0.008539237757923705,0.5170017067090703,0.008539237757923705,0.0897589223459363,0.005402431437077987,0.0897589223459363,0.005402431437077987,-0.14921849966049194,0.053561075692965275,-0.14921849966049194,0.053561075692965275,46.73080903915819,0.19508635232285396,0.16062693134166886,0.006832784041762352,False,Null-overlap (weak signal)
