k,hits,precision,dataset,method,reference,method_ref
100,9,0.09,Immune,baseline,dorothea_ab,baseline/dorothea_ab
250,15,0.06,Immune,baseline,dorothea_ab,baseline/dorothea_ab
500,25,0.05,Immune,baseline,dorothea_ab,baseline/dorothea_ab
1000,42,0.042,Immune,baseline,dorothea_ab,baseline/dorothea_ab
100,19,0.19,Immune,baseline,dorothea_abcd,baseline/dorothea_abcd
250,37,0.148,Immune,baseline,dorothea_abcd,baseline/dorothea_abcd
500,71,0.142,Immune,baseline,dorothea_abcd,baseline/dorothea_abcd
1000,136,0.136,Immune,baseline,dorothea_abcd,baseline/dorothea_abcd
100,0,0.0,Immune,baseline,dorothea_chipseq_ab,baseline/dorothea_chipseq_ab
250,0,0.0,Immune,baseline,dorothea_chipseq_ab,baseline/dorothea_chipseq_ab
500,1,0.002,Immune,baseline,dorothea_chipseq_ab,baseline/dorothea_chipseq_ab
1000,3,0.003,Immune,baseline,dorothea_chipseq_ab,baseline/dorothea_chipseq_ab
100,1,0.01,Immune,baseline,dorothea_chipseq_all,baseline/dorothea_chipseq_all
250,3,0.012,Immune,baseline,dorothea_chipseq_all,baseline/dorothea_chipseq_all
500,10,0.02,Immune,baseline,dorothea_chipseq_all,baseline/dorothea_chipseq_all
1000,26,0.026,Immune,baseline,dorothea_chipseq_all,baseline/dorothea_chipseq_all
100,9,0.09,Immune,baseline,trrust,baseline/trrust
250,12,0.048,Immune,baseline,trrust,baseline/trrust
500,22,0.044,Immune,baseline,trrust,baseline/trrust
1000,40,0.04,Immune,baseline,trrust,baseline/trrust
100,13,0.13,Immune,harmony_batch,dorothea_ab,harmony_batch/dorothea_ab
250,19,0.076,Immune,harmony_batch,dorothea_ab,harmony_batch/dorothea_ab
500,38,0.076,Immune,harmony_batch,dorothea_ab,harmony_batch/dorothea_ab
1000,58,0.058,Immune,harmony_batch,dorothea_ab,harmony_batch/dorothea_ab
100,25,0.25,Immune,harmony_batch,dorothea_abcd,harmony_batch/dorothea_abcd
250,49,0.196,Immune,harmony_batch,dorothea_abcd,harmony_batch/dorothea_abcd
500,90,0.18,Immune,harmony_batch,dorothea_abcd,harmony_batch/dorothea_abcd
1000,158,0.158,Immune,harmony_batch,dorothea_abcd,harmony_batch/dorothea_abcd
100,1,0.01,Immune,harmony_batch,dorothea_chipseq_ab,harmony_batch/dorothea_chipseq_ab
250,1,0.004,Immune,harmony_batch,dorothea_chipseq_ab,harmony_batch/dorothea_chipseq_ab
500,5,0.01,Immune,harmony_batch,dorothea_chipseq_ab,harmony_batch/dorothea_chipseq_ab
1000,7,0.007,Immune,harmony_batch,dorothea_chipseq_ab,harmony_batch/dorothea_chipseq_ab
100,2,0.02,Immune,harmony_batch,dorothea_chipseq_all,harmony_batch/dorothea_chipseq_all
250,4,0.016,Immune,harmony_batch,dorothea_chipseq_all,harmony_batch/dorothea_chipseq_all
500,16,0.032,Immune,harmony_batch,dorothea_chipseq_all,harmony_batch/dorothea_chipseq_all
1000,26,0.026,Immune,harmony_batch,dorothea_chipseq_all,harmony_batch/dorothea_chipseq_all
100,12,0.12,Immune,harmony_batch,trrust,harmony_batch/trrust
250,19,0.076,Immune,harmony_batch,trrust,harmony_batch/trrust
500,36,0.072,Immune,harmony_batch,trrust,harmony_batch/trrust
1000,54,0.054,Immune,harmony_batch,trrust,harmony_batch/trrust
100,12,0.12,Immune,harmony_donor,dorothea_ab,harmony_donor/dorothea_ab
250,19,0.076,Immune,harmony_donor,dorothea_ab,harmony_donor/dorothea_ab
500,37,0.074,Immune,harmony_donor,dorothea_ab,harmony_donor/dorothea_ab
1000,55,0.055,Immune,harmony_donor,dorothea_ab,harmony_donor/dorothea_ab
100,24,0.24,Immune,harmony_donor,dorothea_abcd,harmony_donor/dorothea_abcd
250,46,0.184,Immune,harmony_donor,dorothea_abcd,harmony_donor/dorothea_abcd
500,91,0.182,Immune,harmony_donor,dorothea_abcd,harmony_donor/dorothea_abcd
1000,154,0.154,Immune,harmony_donor,dorothea_abcd,harmony_donor/dorothea_abcd
